alpha,test_error_mean,test_err_std,loss_mean,loss_std
0.193571,0.3241828765869141,0.012765418697161626,0.0007446378221735358,3.318015978587798e-05
0.201429,0.3212268886566162,0.01182055001602299,0.0008220425810664892,3.964785618672242e-05
0.209286,0.31791411924362184,0.015152753492110685,0.0008985922791063786,4.059596350573838e-05
0.217143,0.32505605697631834,0.012693520612864589,0.0011274923630058763,7.072307280796553e-05
0.225,0.3258538670539856,0.013284050847656069,0.001253736900538206,6.958905694840682e-05
0.232857,0.32565994834899903,0.013637309490276943,0.001550622993707657,0.00010311145308109004
0.2407142857142857,0.3161412935256958,0.010963095052982106,0.0017091503076255322,9.572704582406046e-05
0.2485714285714285,0.3144673891067505,0.010741665638333843,0.0019171848498284816,0.00010045146964382434
0.256429,0.307068733215332,0.010782721223906057,0.0020077253855764862,0.00011785126174324271
0.264286,0.30004607486724855,0.013944129883578278,0.00235987699329853,0.00011428918814283664
0.272143,0.295763970375061,0.01498467154854442,0.0026432866275310518,0.00014898959362795187
0.28,0.28810068988800047,0.010758904143486145,0.0029184896290302275,0.00015660907899123314
0.2878571428571428,0.2822378902435303,0.012173417824782361,0.0032572390429675578,0.00015822168426653173
0.2957142857142857,0.2733770837783813,0.011061072711878898,0.003442000266909599,0.00017099657105285314
0.303571,0.2625408763885498,0.011537126960681788,0.003971339726448059,0.00021218895836852075
0.311429,0.2584007601737976,0.01164440019693903,0.004477653480321169,0.00020301529564432604
0.3192857142857143,0.25017924427986143,0.010292446883176406,0.004913705186545849,0.0001864939034960621
0.3271428571428572,0.24399208998680114,0.009828681020042267,0.005230556932091713,0.00022076046453322698
0.335,0.2364666204452515,0.009287345950022816,0.005444006339460611,0.00025482892241112824
0.342857,0.2336395661830902,0.008955558842926915,0.006268011675775051,0.0003089446950233188
0.350714,0.22438914227485657,0.009686470517329957,0.006674759531021118,0.00023427183634887455
0.358571,0.2189194278717041,0.008424933343130398,0.006797427221387624,0.00028027074564486784
0.3664285714285714,0.21250489282608032,0.008636602898937888,0.007591691830009222,0.0002645457818774844
0.3742857142857143,0.211970290184021,0.010178935591316047,0.0072997396908700465,0.0003216679744735111
0.3821428571428572,0.20221749615669252,0.007881154246818083,0.008621109461039304,0.00031359864115309774
0.39,0.2017362051010132,0.007400233793321802,0.008794644340872765,0.00028378387703892756
0.397857,0.19378785324096678,0.006715959375278784,0.009010494216531516,0.00031059734211444845
0.4057142857142857,0.19046037983894348,0.00713277367815105,0.009647206850349905,0.0004140118766789066
0.4135714285714286,0.18816503739356993,0.0069242697945869945,0.010119045651704071,0.00032577321930376033
0.421429,0.18339273643493653,0.006230193692813714,0.010175827105343342,0.0003369213621252192
0.4292857142857143,0.18140210604667664,0.00850344052161925,0.011326568679511548,0.0003900473536771458
0.4371428571428571,0.17861602330207824,0.006777378154095726,0.011157395727187396,0.00033838579945977656
0.445,0.17610678815841674,0.005977095466939328,0.011281012044101953,0.0003935044973621878
0.4528571428571429,0.1708385283946991,0.0064025243906680055,0.012904739263653755,0.0003890065962945046
0.4607142857142857,0.16866168069839477,0.006167299718303022,0.013241750597953796,0.00038854431205126606
0.4685714285714286,0.16739989852905274,0.0055911116852617945,0.014230539207905532,0.0003562236062871281
0.476429,0.1629587001800537,0.004764078173104308,0.013959705996513366,0.00047123600597221956
0.4842857142857143,0.16202292776107788,0.00573465676457454,0.014994881293922662,0.00040945292644315134
0.4921428571428571,0.16041662049293517,0.006469657070733448,0.01571720557808876,0.000490250356277545
0.5,0.15703348112106325,0.005798035020524259,0.015394325940310954,0.000509122213063122
