alpha,q,m,sigma,q_hat,m_hat,sigma_hat,test,train
0.3192913385826771,3.5765527199777907,1.9382642352447264,15.6163968979896,0.0032614588678023,0.0555978584822832,0.0443750774376476,0.2784943217345262,0.0038762922154457
0.3228346456692913,3.4907131914051233,1.92299378752254,14.7256476447491,0.0035105579049794,0.0587111769973918,0.0471468771150591,0.2709466490212993,0.0041501853336373
0.3263779527559055,3.41743066342215,1.909785977949604,13.974817975058588,0.0037590464840191,0.0616836614795752,0.0498365473367791,0.2691354158478362,0.0043880054235165
0.3299212598425197,3.3526149437417847,1.898115306258655,13.285420923543963,0.0040128691766973,0.0645381399105912,0.0524454565225069,0.2623891177902904,0.0045544736878709
0.3334645669291338,3.2822217485892926,1.8849787688959123,12.614815049031044,0.0042894800134614,0.0678520834659292,0.0554559230050471,0.2575531042917011,0.0047239742208446
0.337007874015748,3.2136412132602983,1.871599180258647,11.95911373051296,0.0045918542483285,0.0711769318526724,0.0585406615599543,0.2542195105608831,0.0049288820920182
0.3405511811023622,3.160611404882431,1.861333986887243,11.474730642339418,0.004843838079783,0.074098105420146,0.0611910662806688,0.2493352233015198,0.0052186466918539
0.3440944881889763,3.1000169823871495,1.848852777760031,10.94339085419348,0.00514847540622,0.0773989104265744,0.0643174798250824,0.2458770195437358,0.0054058438344721
0.3476377952755905,3.0493122180209404,1.8393627920416609,10.47540034968129,0.0054440666692255,0.0806865545961986,0.0673564570217213,0.2416575401449165,0.0055759883129944
0.3511811023622047,3.002757736962263,1.8309386557579757,10.02668643692211,0.0057557268928214,0.0840668934937496,0.0704900404747231,0.2395270006181438,0.0057777106491016
0.3547244094488189,2.9446528169290396,1.818161600985853,9.584404836794976,0.0060771413272951,0.087463514699455,0.0737736891517408,0.2350151991790644,0.00590698664823
0.358267716535433,2.900821833503724,1.8090905313642884,9.212161220597324,0.0064103706051931,0.091033096092076,0.077117075633683,0.2339661816119894,0.0062016663640027
0.3618110236220472,2.8533502909210813,1.7992501487503765,8.828651532642958,0.0067310608088163,0.094378498977264,0.0803241901348742,0.2284889714368977,0.0062919932603143
0.3653543307086614,2.8148049915560205,1.7912715043108105,8.506634078860762,0.0070592570585958,0.0978056268315046,0.0835807452712267,0.2261132922789671,0.0065229745108273
0.3688976377952755,2.7707155386358133,1.7813932706558724,8.178866590492659,0.0074193655560963,0.1014927033206832,0.0871476380293005,0.2225337429677636,0.0066961247300423
0.3724409448818897,2.7336602729687107,1.7743017175991995,7.877131926643202,0.0077483495686452,0.104813749597542,0.0903679614747917,0.2187054931584587,0.0070625412345274
0.3759842519685039,2.693899247027211,1.7651525661208467,7.586826784928166,0.0081386678136993,0.1087511534184459,0.0941749824286669,0.2149914958802314,0.0072318951165328
0.3795275590551181,2.6587123311339784,1.7568136134081327,7.334942113552787,0.0084906927209304,0.1121188924705992,0.097496014543389,0.2149533116515017,0.0074077098722756
0.3830708661417322,2.6246802826617666,1.749036412677094,7.094301055961641,0.0088508460190128,0.1156189437392213,0.1009830870476732,0.2117730451344048,0.007494330747647
0.3866141732283464,2.593488337327086,1.7429124531042783,6.841662210814584,0.0092409702985263,0.119648992104244,0.104771687418159,0.2071426604254048,0.0078373485905851
0.3901574803149606,2.5603926465628817,1.7348947363296945,6.6276995241199685,0.0096318730917967,0.1235647403712473,0.1086444213853776,0.2067468715765771,0.0079876660205534
0.3937007874015747,2.529540308441839,1.727629730968373,6.41147671420342,0.0100322944647967,0.1272604950248441,0.1123445955701477,0.2043077264465204,0.0081550238259105
0.397244094488189,2.4993368771833104,1.7206935214408838,6.2031030457291125,0.0104404038945415,0.1312400945366436,0.1162395914022446,0.2008943142515231,0.0084845506761392
0.4007874015748031,2.471588634820893,1.714052078711553,6.013765081338356,0.010826647950572,0.1348470340057369,0.1198093840357178,0.1996040092646569,0.0086218056799449
0.4043307086614173,2.45093512435777,1.7092841740170517,5.872748986058124,0.0111745781291693,0.1381845196220681,0.123138239319449,0.1969155838828019,0.0090213988391638
0.4078740157480315,2.420917169949626,1.702234045239833,5.67837528630823,0.0116465455105551,0.1429568990215826,0.1277941158209539,0.1949611182573902,0.0091770393515408
0.4114173228346456,2.3966401769403634,1.6971242669936284,5.500756236196326,0.0120339932600488,0.1463709965752255,0.1312672170810119,0.1928435969317737,0.009483862988162
0.4149606299212598,2.3746746082694203,1.6917699992559412,5.366114133435383,0.012420381573596,0.1500101454065587,0.1349194423261331,0.1923602514118862,0.0096539264689547
0.4185039370078739,2.3499848119258,1.684955613425018,5.2254919175671155,0.0128622398847604,0.1539574135078928,0.1389312855762439,0.1878523205906128,0.0098210719946116
0.4220472440944882,2.3289017930447096,1.6803976311751936,5.079583903167972,0.0133018040701903,0.1579286995865282,0.142930564394261,0.1863779329817812,0.0100752037148197
0.4255905511811023,2.310213917510933,1.675674129760259,4.95949909896671,0.0136953205201908,0.1616444976403109,0.1466770339099257,0.1854300489021303,0.010245791228602
0.4291338582677165,2.28864188971356,1.670172225929389,4.833301295448766,0.0141391629680883,0.1655999946193173,0.1507016720914276,0.1838698310856829,0.0103724217001008
0.4326771653543307,2.2663239122003964,1.6646063576309706,4.699750567456429,0.0146109376960372,0.1699257242732137,0.1550741681182168,0.1832262363304622,0.0107132666252005
0.4362204724409448,2.2491125779498886,1.6603429153214355,4.594501872025704,0.0149960811801219,0.1733733368296975,0.1585975912452467,0.1811440169603579,0.0111697656806472
0.439763779527559,2.2315186624186794,1.6559180589325744,4.489810452863515,0.015476536218773,0.1775985691994623,0.162869865857608,0.1788631856988982,0.0110542587302075
0.4433070866141732,2.2118958186460627,1.651194655943434,4.369891450867665,0.0159514397422993,0.1818503815620364,0.1672780998678527,0.1768812231550857,0.0112557291462784
0.4468503937007874,2.195298993661715,1.6470094082377071,4.269734942841114,0.0163777537845218,0.1861582114584806,0.1715105472934582,0.1768865609547684,0.0117516416622768
0.4503937007874015,2.179704209060069,1.6430688114805467,4.178346321739034,0.016839529293361,0.189881032020515,0.1754274157504736,0.1751489357563645,0.0119237286231842
0.4539370078740157,2.162847818487815,1.6384470699820644,4.091106601525461,0.0172535138147463,0.1934146140137068,0.1791522964543355,0.1722637830937135,0.0122076979843058
0.4574803149606299,2.149396376625168,1.635091303845877,4.006922114357331,0.0177211431546527,0.1978483042431986,0.1835273161282678,0.1711585148703678,0.0124854142708657
0.461023622047244,2.1322026796461517,1.630402581845154,3.9145480620726065,0.0181965633538223,0.201575300507604,0.1875618691418875,0.1708862708570007,0.0125195318795424
0.4645669291338583,2.120098615778253,1.6269695992025524,3.8483224405729377,0.0186413629400313,0.2055656212059334,0.1915934720617866,0.1682959772266339,0.0129458443355988
0.4681102362204724,2.103125268921494,1.622887774924611,3.752732217348344,0.0191759280882292,0.2100746731869753,0.1963062613807499,0.1676678258491783,0.013076080179735
0.4716535433070866,2.089312429712048,1.6192294919370809,3.675561775209712,0.0196534427474485,0.2142524853353404,0.2006096736694285,0.1680510253151691,0.0131748745999578
0.4751968503937008,2.0743302378854005,1.6151298221323112,3.5989543242777007,0.0200763102790788,0.2177604724355868,0.2044087480737153,0.1652927360541752,0.0135883697548766
0.4787401574803149,2.062634546368806,1.61232921313322,3.5266532034696114,0.0205848429887724,0.2226116967080453,0.2092415750206447,0.1643890603865206,0.013790551700649
0.4822834645669291,2.050580006387057,1.608718702574261,3.4714121690309385,0.021023861551586,0.2265619661184725,0.2132799701375839,0.1639178294538319,0.0141464663581022
0.4858267716535432,2.0372192626367793,1.605228601749792,3.3970523320359622,0.0215735277885865,0.2308365385948646,0.2178499908079526,0.1622110653576254,0.0142921340337691
0.4893700787401575,2.024888861568728,1.6017887607410797,3.332424247161526,0.0220361767813482,0.2350490749836407,0.2222101335497281,0.1603964128471875,0.0143268266634877
0.4929133858267716,2.0149826272093683,1.5992447072711844,3.2780507265458896,0.0224840019298371,0.2386677174649223,0.2260366912414062,0.1591539060940174,0.0149223882811543
0.4964566929133858,2.0031560653394083,1.59620738731148,3.2129434958001997,0.0229761957779712,0.2432310558282761,0.230661226480485,0.1584341671190271,0.0149789050275613
0.5,1.9921751071901133,1.5932088884895117,3.157871374151237,0.0234705901638551,0.2471958307731307,0.2348782435411465,0.1573466631090744,0.0151844398303924
