alpha,q,m,sigma,q_hat,m_hat,sigma_hat,test
8.499729747199467,1.1723555401384709,1.3215468554283436,0.0699361750946519,1.3904665312110818,10.251314688884776,11.627654270354556,0.07742043822653803
9.052822910228684,1.1681862509832688,1.319526380403452,0.0651366640752435,1.484107122731014,10.948734463381534,12.429335026964932,0.07665236063340639
9.64190687015242,1.169661132522576,1.320463483914058,0.0623599932639314,1.586009314468943,11.91325737839408,13.531648099212452,0.07606422615800572
10.269323614808677,1.1687086710975798,1.320187521685682,0.0583753151918919,1.6884766128688673,12.652796292867096,14.361805862745138,0.07655013417181039
10.937567529523342,1.168006665659924,1.3200890721512486,0.0544854046366658,1.8096167056032688,13.933458344345269,15.82003284399416,0.07677979117824703
11.64929531389708,1.1670762867734643,1.3197603101550095,0.0510954486155557,1.9177135234391944,14.789245097791207,16.792904429796618,0.07648657024218451
12.407336543895918,1.1644719661981553,1.3184684190263236,0.0481019007795727,2.054745155587716,15.122268559370552,17.1986303937152,0.07604522188967737
13.214704921236688,1.163680043696782,1.3182009981502807,0.0451227588740876,2.204181500106864,16.314128631143262,18.538921668605006,0.07595018074438387
14.07461025479072,1.1635256873499045,1.318453196068396,0.0411836557883064,2.3556658565685313,17.50673625226163,19.903328238830664,0.07614816139333601
14.990471221639778,1.1625812781528644,1.3178922981544068,0.0401574882674325,2.51198151899788,19.263619087799466,21.904264532722394,0.07611073110182627
15.965928958517488,1.1611948149592444,1.3172847352763195,0.0375061792918611,2.6685939200078557,20.257552726538307,23.04670847289216,0.07507515429173255
17.004861537671072,1.15967588895135,1.3165693344832845,0.0352219185596876,2.832746207060981,21.233922809952308,24.17041270471229,0.0753459123186781
18.11139938469418,1.1625394168390577,1.3182916661734003,0.0334132509643754,3.0277243000577636,22.419313741970488,25.478740204114292,0.07522291398307279
19.2899416996268,1.1614274607712245,1.3178315621916794,0.0310655886268807,3.255348500172546,24.05968102392856,27.38974068299345,0.07554785024846533
20.545173946606333,1.159122263578063,1.31669836368367,0.0287225428558333,3.468130900914188,26.228563964497276,29.88479400440129,0.07543989788554753
21.8820864816029,1.158540943574892,1.3164366203975986,0.0272754322362938,3.71870224329858,27.81169334018761,31.689288463935064,0.07479644435602865
23.30599439229577,1.159409825796647,1.3171064974590272,0.0252303314827956,3.935084080379077,30.12585275516373,34.31131723462795,0.07547671231201766
24.822558628967354,1.158155742036595,1.3165421546415808,0.0232337592347133,4.196175463643265,32.22049958656093,36.68984066770992,0.07465475002443171
26.43780851042356,1.1586988441994726,1.316831053274263,0.0226522451783905,4.488575296215015,34.13429535883734,38.85357448548149,0.07478788858062235
28.158165694416276,1.1582598411598777,1.316687005987229,0.0212413710430314,4.768660043665406,34.927609070413645,39.78094318458825,0.07512702222448452
29.990469707865316,1.1578202204859889,1.3165789358483575,0.0194955491851244,5.07392116342315,38.47196462653216,43.84590412377703,0.0754055828940943
31.94200513837954,1.1550455688500894,1.3150296364381644,0.0186233792954352,5.415271105730031,40.982714392634904,46.75585593564183,0.07412119255254523
34.02053059518046,1.1550934755150708,1.3151549819564214,0.0172934644505441,5.789711582721201,43.20705203085599,49.283601222266256,0.07439974553255335
36.23430955456687,1.1571725065292078,1.3162906846120992,0.017099533851789,6.149820374357623,45.86345939593097,52.261504129266015,0.07478125011435009
38.59214321255092,1.154347988905112,1.314845095775263,0.0153825211057241,6.559957515895629,48.02056525554256,54.75051107253265,0.07481781997152803
41.10340547527635,1.156498928230738,1.3161481625495215,0.0143770967592272,6.963971701305105,51.047216548868874,58.1641302200656,0.07426790000157342
43.778080226327575,1.1564096677009084,1.316148181823468,0.0135280850058993,7.471595717877296,56.2807585135375,64.15967137693771,0.07456004045128599
46.62680101909216,1.156034913764563,1.316040164661279,0.0123459995100532,7.961998099670198,60.31321883509674,68.73983317915429,0.07477538478343027
49.66089335197852,1.15587423045484,1.3159783610800655,0.0117186812256215,8.4502965362741,63.79543972572934,72.6721488874895,0.07433266968230222
52.89241969456052,1.1547593865297376,1.3153440430928085,0.0113456948575076,9.060094372360288,66.18448280460888,75.46011100697213,0.07475789475433282
56.33422744365657,1.1548829102185267,1.315454626971336,0.0107037606262659,9.55333280058471,74.15668229847276,84.54529052429103,0.07461440735627761
60.0,1.1561106915948776,1.316178149888786,0.0101889167797988,10.25038957007988,76.21896207172587,86.97332076486899,0.07392809948644193
