alpha,q,m,sigma,q_hat,m_hat,sigma_hat
11.649295313897081,0.928158331149214,1.053007574139082,0.0361312330616743,2.1612654768798674,16.76681039136241,19.12589975868908
12.407336543895918,0.9284533561990672,1.0533091103976842,0.0336377365376983,2.345268302505799,17.6000341237982,20.021174000448525
13.214704921236688,0.9217718126736788,1.04926839518153,0.0341438574998412,2.485781512598311,17.09586865164763,19.539634554640426
14.07461025479072,0.9286353403426932,1.0537447589931723,0.0292694725983519,2.6004924846680755,19.645356367016856,22.369729148983993
14.990471221639778,0.9317125661544052,1.0551448545968622,0.0310352662348584,2.756141945843366,20.239382454742874,23.032951566303016
15.965928958517488,0.9261444187349752,1.0525027398094169,0.026114880116775,3.003953202005861,21.63988587427748,24.703568250850996
17.004861537671072,0.9250644767263352,1.052020764981427,0.0242125385691868,3.2231331501248746,24.03363141650612,27.401459790967824
18.11139938469418,0.9180844983460256,1.0482456635334696,0.0219448649439521,3.418212900918709,25.8482144230529,29.54573214331371
19.289941699626798,0.9226898875168948,1.0507162761676383,0.0223418613610472,3.5822540877187317,26.528077641019895,30.251230101082797
20.545173946606333,0.9247556805376886,1.052077816337162,0.020327733268841,3.877689883174364,25.74355629288798,29.356814702557703
21.8820864816029,0.9228085824471968,1.050923803678891,0.0200918560744487,4.046967370063366,28.34051329723641,32.37560471840081
23.30599439229577,0.9290470061549044,1.054688962481493,0.0180820655766818,4.265237966262033,32.850548694284406,37.38313540878541
24.822558628967354,0.9212407543759872,1.0503634803779118,0.0163653559142345,4.627421898521685,37.55709258185039,42.85807572052465
26.43780851042356,0.9317051711683768,1.0559726871762871,0.0182946826938913,4.935953003557651,35.704323147991,40.550172984575845
28.158165694416276,0.92975169940926,1.0551417796589726,0.016054415774332,5.307334624923987,36.75692383032777,41.8757198221275
29.990469707865316,0.9259151464163468,1.053261533164638,0.0130929382040006,5.577469991453454,39.74146996370073,45.40536419584836
31.94200513837954,0.922764468165338,1.0514401206746489,0.0128773255034057,6.061457716413246,41.266113830775126,47.05074981744585
34.02053059518046,0.9255343255558888,1.0531105476736675,0.0118469915694626,6.536561801059605,46.17851805804644,52.76990572459342
36.23430955456687,0.9191559137176885,1.0495686942671112,0.010704299212515,6.8274730811672715,52.0188986867921,59.40241895818472
38.59214321255092,0.9235522853953756,1.0518712670232646,0.011983357945169,7.23158220766804,55.4301261280093,63.10581753974726
41.10340547527635,0.9272204068623467,1.0539882937870664,0.0113582915835623,7.767607422726331,54.79840677365443,62.43234467528866
43.778080226327575,0.9239516497373882,1.05228746939645,0.0099228819609532,8.249868694055298,51.96903425723697,59.41248550166074
46.626801019092156,0.9216442892705056,1.0510846430376064,0.00878707735027,8.637997683953724,64.65411127689062,73.92079925333624
49.66089335197852,0.9207504900527588,1.0506757142073186,0.0076949097360279,9.24623009231532,71.71031979079468,81.80068693341859
52.89241969456052,65440.267788547346,-68.63851918455988,-1.2649841910664542e-17,2.3070707657425889e+86,8.717368362731053e+39,-1.7131086169362059e+40
56.33422744365657,6979824729142.523,1060487.8958039074,-4.31792434379424e-21,5.498274501297061e+214,-2.9076939383421534e+106,1.8773668185378716e+101
60.0,15796132315696.691,1217765.271534653,-8.428859040645509e-17,1.4633075358681238e+77,-1.6369868583402691e+38,-1.732607543953371e+32
